,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,features,column_mean,column_std
155,155,155,155,"heartrate__cwt_coefficients__coeff_11__w_5__widths_(2, 5, 10, 20)",-5.456706373092694e-15,0.9999999999999912
156,156,156,156,"heartrate__cwt_coefficients__coeff_12__w_10__widths_(2, 5, 10, 20)",-4.0762724247868984e-16,0.9999999999999954
157,157,157,157,"heartrate__cwt_coefficients__coeff_12__w_20__widths_(2, 5, 10, 20)",-7.740042466108686e-14,1.000000000000001
158,158,158,158,"heartrate__cwt_coefficients__coeff_12__w_2__widths_(2, 5, 10, 20)",-1.0258753756779664e-16,1.000000000000012
159,159,159,159,"heartrate__cwt_coefficients__coeff_12__w_5__widths_(2, 5, 10, 20)",-2.6922562688147762e-14,0.9999999999999907
160,160,160,160,"heartrate__cwt_coefficients__coeff_13__w_10__widths_(2, 5, 10, 20)",-6.979725338422173e-14,1.0000000000000009
161,161,161,161,"heartrate__cwt_coefficients__coeff_13__w_20__widths_(2, 5, 10, 20)",-1.805976444469927e-15,1.0000000000000029
162,162,162,162,"heartrate__cwt_coefficients__coeff_13__w_2__widths_(2, 5, 10, 20)",2.6003305729424895e-16,1.0000000000000075
163,163,163,163,"heartrate__cwt_coefficients__coeff_13__w_5__widths_(2, 5, 10, 20)",-4.463108699212097e-15,0.9999999999999879
164,164,164,164,"heartrate__cwt_coefficients__coeff_14__w_10__widths_(2, 5, 10, 20)",1.4074682347312794e-14,1.0
165,165,165,165,"heartrate__cwt_coefficients__coeff_14__w_20__widths_(2, 5, 10, 20)",-3.7849782404196985e-14,0.9999999999999963
166,166,166,166,"heartrate__cwt_coefficients__coeff_14__w_2__widths_(2, 5, 10, 20)",1.4988017155470327e-16,0.9999999999999926
167,167,167,167,"heartrate__cwt_coefficients__coeff_14__w_5__widths_(2, 5, 10, 20)",9.053298512754959e-16,0.9999999999999943
168,168,168,168,"heartrate__cwt_coefficients__coeff_1__w_10__widths_(2, 5, 10, 20)",1.3556808849007703e-14,1.0000000000000044
169,169,169,169,"heartrate__cwt_coefficients__coeff_1__w_20__widths_(2, 5, 10, 20)",-3.3152490567233365e-14,0.9999999999999898
170,170,170,170,"heartrate__cwt_coefficients__coeff_1__w_2__widths_(2, 5, 10, 20)",-3.578018279097809e-14,0.999999999999995
171,171,171,171,"heartrate__cwt_coefficients__coeff_1__w_5__widths_(2, 5, 10, 20)",5.073275177166795e-14,0.999999999999998
172,172,172,172,"heartrate__cwt_coefficients__coeff_2__w_10__widths_(2, 5, 10, 20)",-2.2643344583470656e-14,0.9999999999999968
173,173,173,173,"heartrate__cwt_coefficients__coeff_2__w_20__widths_(2, 5, 10, 20)",-2.853803549102818e-14,0.9999999999999893
174,174,174,174,"heartrate__cwt_coefficients__coeff_2__w_2__widths_(2, 5, 10, 20)",3.513248440454839e-14,1.0000000000000038
175,175,175,175,"heartrate__cwt_coefficients__coeff_2__w_5__widths_(2, 5, 10, 20)",-1.442497900754947e-13,1.0000000000000056
176,176,176,176,"heartrate__cwt_coefficients__coeff_3__w_10__widths_(2, 5, 10, 20)",-1.7081947369335574e-14,1.000000000000005
177,177,177,177,"heartrate__cwt_coefficients__coeff_3__w_20__widths_(2, 5, 10, 20)",-8.50426722677553e-14,1.0000000000000004
178,178,178,178,"heartrate__cwt_coefficients__coeff_3__w_2__widths_(2, 5, 10, 20)",-8.01301857758052e-14,0.9999999999999825
179,179,179,179,"heartrate__cwt_coefficients__coeff_3__w_5__widths_(2, 5, 10, 20)",7.450130833483546e-14,0.9999999999999931
180,180,180,180,"heartrate__cwt_coefficients__coeff_4__w_10__widths_(2, 5, 10, 20)",-4.45919769394872e-14,1.000000000000005
181,181,181,181,"heartrate__cwt_coefficients__coeff_4__w_20__widths_(2, 5, 10, 20)",1.8105074439714345e-14,0.9999999999999957
182,182,182,182,"heartrate__cwt_coefficients__coeff_4__w_2__widths_(2, 5, 10, 20)",4.601437895030882e-14,1.0000000000000013
183,183,183,183,"heartrate__cwt_coefficients__coeff_4__w_5__widths_(2, 5, 10, 20)",-5.0909563101017215e-14,1.0000000000000027
184,184,184,184,"heartrate__cwt_coefficients__coeff_5__w_10__widths_(2, 5, 10, 20)",7.722249457683686e-14,1.0000000000000013
185,185,185,185,"heartrate__cwt_coefficients__coeff_5__w_20__widths_(2, 5, 10, 20)",-1.8390070295342355e-14,0.9999999999999961
186,186,186,186,"heartrate__cwt_coefficients__coeff_5__w_2__widths_(2, 5, 10, 20)",1.09468716955037e-14,0.9999999999999936
187,187,187,187,"heartrate__cwt_coefficients__coeff_5__w_5__widths_(2, 5, 10, 20)",1.4910127955476738e-15,1.0000000000000087
188,188,188,188,"heartrate__cwt_coefficients__coeff_6__w_10__widths_(2, 5, 10, 20)",-6.945305457049713e-14,1.0000000000000064
189,189,189,189,"heartrate__cwt_coefficients__coeff_6__w_20__widths_(2, 5, 10, 20)",1.0506583554489692e-13,0.9999999999999974
190,190,190,190,"heartrate__cwt_coefficients__coeff_6__w_2__widths_(2, 5, 10, 20)",-3.9364976155330813e-16,0.9999999999999909
191,191,191,191,"heartrate__cwt_coefficients__coeff_6__w_5__widths_(2, 5, 10, 20)",1.2885452210864076e-14,0.9999999999999993
192,192,192,192,"heartrate__cwt_coefficients__coeff_7__w_10__widths_(2, 5, 10, 20)",-1.0922836085316854e-13,1.000000000000004
193,193,193,193,"heartrate__cwt_coefficients__coeff_7__w_20__widths_(2, 5, 10, 20)",3.380722690838147e-14,0.9999999999999755
194,194,194,194,"heartrate__cwt_coefficients__coeff_7__w_2__widths_(2, 5, 10, 20)",-4.15099378639352e-16,1.0000000000000118
195,195,195,195,"heartrate__cwt_coefficients__coeff_7__w_5__widths_(2, 5, 10, 20)",-4.711684993928044e-14,1.0000000000000024
196,196,196,196,"heartrate__cwt_coefficients__coeff_8__w_10__widths_(2, 5, 10, 20)",-6.31655803673616e-14,0.9999999999999912
197,197,197,197,"heartrate__cwt_coefficients__coeff_8__w_20__widths_(2, 5, 10, 20)",-1.1035779408816906e-15,1.000000000000013
198,198,198,198,"heartrate__cwt_coefficients__coeff_8__w_2__widths_(2, 5, 10, 20)",-1.4527331676141452e-16,1.0000000000000038
199,199,199,199,"heartrate__cwt_coefficients__coeff_8__w_5__widths_(2, 5, 10, 20)",1.1262969274600396e-14,1.0000000000000275
200,200,200,200,"heartrate__cwt_coefficients__coeff_9__w_10__widths_(2, 5, 10, 20)",-6.008292416401206e-14,0.9999999999999966
201,201,201,201,"heartrate__cwt_coefficients__coeff_9__w_20__widths_(2, 5, 10, 20)",-1.8102083224651948e-14,1.0000000000000064
202,202,202,202,"heartrate__cwt_coefficients__coeff_9__w_2__widths_(2, 5, 10, 20)",-1.0309859652513517e-16,1.0000000000000149
203,203,203,203,"heartrate__cwt_coefficients__coeff_9__w_5__widths_(2, 5, 10, 20)",-8.960069555945749e-14,0.9999999999999927
204,204,204,204,heartrate__energy_ratio_by_chunks__num_segments_10__segment_focus_0,4.3242259431312014e-14,0.9999999999999953
205,205,205,205,heartrate__energy_ratio_by_chunks__num_segments_10__segment_focus_1,-1.5334918601135614e-13,1.0000000000000022
206,206,206,206,heartrate__energy_ratio_by_chunks__num_segments_10__segment_focus_2,6.789277255195854e-14,0.9999999999999963
207,207,207,207,heartrate__energy_ratio_by_chunks__num_segments_10__segment_focus_3,-6.196346178664389e-14,0.9999999999999928
